cell_id,run_dir,arm,instance_id,episode_seed,episode_id,bank_position,family,channel,value_structure,n_items,horizon,scrambled,policy_seats,stage,efficiency,suppression,suppression_vs_truthful,bid_value_ratio,bid_benchmark_ratio,revenue,revenue_normalized,overbid_own_value_rate,never_bid_rate,benchmark,benchmark_revenue,agreement_in_force,n_suppressed_seats
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,1,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",1,1.0,0.0,0.11448774695023212,0.9084098024398143,1.0,133.0,0.7471910112359551,0.0,0.0,truthful,133.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,1,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",2,0.9130434782608695,0.0,0.1091485507246377,0.9126811594202898,1.0,59.0,0.855072463768116,0.0,0.0,truthful,59.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,1,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",3,1.0,0.0,0.11147186147186147,0.9108225108225108,1.0,64.0,0.9552238805970149,0.0,0.0,truthful,64.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,1,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",4,1.0,0.0,0.1113045370471113,0.9109563703623109,1.0,108.0,0.9818181818181818,0.0,0.0,truthful,108.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,1,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",5,1.0,0.0,0.11421911421911422,0.9086247086247086,1.0,105.0,1.0,0.0,0.0,truthful,105.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,1,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",6,1.0,0.0,0.047619047619047616,0.9642857142857143,1.0,49.0,0.6447368421052632,0.0,0.2,truthful,49.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,1,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",7,1.0,0.0,0.11187483634459282,0.9105001309243257,1.0,71.0,0.8658536585365854,0.0,0.0,truthful,71.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,1,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",8,1.0,0.0,0.11061032863849765,0.9115117370892019,1.0,98.0,0.8828828828828829,0.0,0.0,truthful,98.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,19,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",1,1.0,0.0,0.11261463765509801,0.9099082898759215,1.0,58.0,0.6744186046511628,0.0,0.0,truthful,58.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,19,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",2,1.0,0.0,0.07530120481927711,0.9094838067867801,1.0,124.0,0.5688073394495413,0.0,0.0,truthful,124.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,19,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",3,0.9320388349514563,0.0,0.11198916233912846,0.9104086701286972,1.0,88.0,0.8543689320388349,0.0,0.0,truthful,88.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,19,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",4,1.0,0.0,0.11235210118319053,0.9101183190534474,1.0,91.0,0.7583333333333333,0.0,0.0,truthful,91.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,19,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",5,0.9136690647482014,0.0,0.07553956834532374,0.9096470854812214,1.0,106.0,0.762589928057554,0.0,0.0,truthful,106.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,19,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",6,1.0,0.0,0.0392156862745098,0.9086274509803921,1.0,80.0,0.6666666666666666,0.0,0.0,truthful,80.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,19,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",7,1.0,0.0,0.07317073170731707,0.9128919860627178,1.0,53.0,0.7571428571428571,0.0,0.0,truthful,53.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84019,0,auction-all_oracle-0ee221d7b6,19,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",8,1.0,0.0,0.07459677419354839,0.9103225806451614,1.0,113.0,0.70625,0.0,0.0,truthful,113.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84011,0,auction-all_oracle-11906aeaed,11,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",1,1.0,0.0,0.11320754716981132,0.909433962264151,1.0,74.0,0.6788990825688074,0.0,0.0,truthful,74.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84011,0,auction-all_oracle-11906aeaed,11,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",2,1.0,0.0,0.11253994433563551,0.9099680445314917,1.0,93.0,0.5670731707317073,0.0,0.0,truthful,93.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84011,0,auction-all_oracle-11906aeaed,11,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",3,1.0,0.0,0.0,0.9638157894736842,1.0,58.0,0.7631578947368421,0.0,0.2,truthful,58.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84011,0,auction-all_oracle-11906aeaed,11,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",4,0.8584905660377359,0.0,0.11416217430368374,0.9086702605570529,1.0,74.0,0.6981132075471698,0.0,0.0,truthful,74.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84011,0,auction-all_oracle-11906aeaed,11,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",5,1.0,0.0,0.11313686313686314,0.9094905094905095,1.0,62.0,0.62,0.0,0.0,truthful,62.0,0.0,0
R3,/juice2/scr2/siddharth/ii_mats/rational_agents/auction/pkgb_opus48_v1__R3__llm,all_oracle,auction-1lot-84011,0,auction-all_oracle-11906aeaed,11,sealed_single,dm,apv,1,8,False,"oracle,oracle,oracle,oracle,oracle",6,1.0,0.0,0.11355781315458735,0.9091537494763301,1.0,144.0,0.9411764705882353,0.0,0.0,truthful,144.0,0.0,0
