cell_id,arm,instance_id,episode_seed,episode_id,channel,scrambled,sender_card,recipient_card,both_llm_seats,dm_count
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,sovereign_fund,regional_operator,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,sovereign_fund,ai_lab,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,sovereign_fund,hyperscaler,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,sovereign_fund,colocation_reseller,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,regional_operator,sovereign_fund,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,regional_operator,ai_lab,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,regional_operator,hyperscaler,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,regional_operator,colocation_reseller,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,ai_lab,sovereign_fund,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,ai_lab,regional_operator,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,ai_lab,hyperscaler,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,ai_lab,colocation_reseller,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,hyperscaler,sovereign_fund,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,hyperscaler,regional_operator,False,0.0
R3,all_oracle,auction-1lot-84001,0,auction-all_oracle-0ca6738d8b,dm,False,hyperscaler,ai_lab,False,0.0
