experiment-name,episode_id,instance_id,seed,focal_seat,opponent_seat,n_observed_opponent_proposals,issue_pairwise_accuracy,prior_issue_pairwise_accuracy,issue_pairwise_gain,true_top_issue_probability,prior_true_top_issue_probability,true_top_issue_probability_gain,threshold_abs_error,prior_threshold_abs_error,threshold_error_reduction,posterior_entropy
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-e03917b208,scorable_negotiation-L0-119dfa1112,0,0,1,3,0.3333333333333333,0.0,0.3333333333333333,0.28894342001449463,0.3333333333333334,-0.04438991331883879,0.07407748796766611,0.05810810810810807,-0.01596937985955804,5.452318138169417
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-6d264fd280,scorable_negotiation-L0-119dfa1112,1,0,1,1,0.6666666666666666,0.0,0.6666666666666666,0.36269686624673775,0.3333333333333334,0.029363532913404322,0.05810810810810796,0.05810810810810807,1.1102230246251565e-16,5.295995332124555
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-6b16b4ee3d,scorable_negotiation-L0-1f56d3e67c,0,0,1,2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3852535572734053,0.3333333333333334,0.0519202239400719,0.04362275609994093,0.07068965517241377,0.02706689907247284,5.645832318314767
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-35227ec22c,scorable_negotiation-L0-1f56d3e67c,1,0,1,3,0.3333333333333333,0.3333333333333333,0.0,0.36360897218210486,0.3333333333333334,0.030275638848771436,0.08185753373794613,0.07068965517241377,-0.011167878565532363,5.4391469477381635
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-617e99181a,scorable_negotiation-L0-2b42ce4a5c,0,0,1,0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333334,0.3333333333333334,0.0,0.025129533678756477,0.025129533678756477,0.0,6.1862086239004945
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-4e7a7d9d37,scorable_negotiation-L0-2b42ce4a5c,1,0,1,1,0.3333333333333333,0.3333333333333333,0.0,0.3363837050870595,0.3333333333333334,0.0030503717537260777,0.025129533678756477,0.025129533678756477,0.0,5.286075844383733
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-f97d1df17f,scorable_negotiation-L0-2d5d5b106e,0,0,1,1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.3333333333333334,-5.551115123125783e-17,0.032208938351931504,0.0174418604651162,-0.014767077886815305,5.909669229369619
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-f9eb8fd404,scorable_negotiation-L0-2d5d5b106e,1,0,1,2,0.6666666666666666,0.6666666666666666,0.0,0.3419886476502283,0.3333333333333334,0.008655314316894869,0.03155007529967302,0.0174418604651162,-0.01410821483455682,5.733464118438318
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-f6f53d065b,scorable_negotiation-L0-2eb1acc6bf,0,0,1,0,0.0,0.0,0.0,0.3333333333333334,0.3333333333333334,0.0,0.029399141630901293,0.029399141630901293,0.0,6.1862086239004945
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-fe6fd8a2e9,scorable_negotiation-L0-2eb1acc6bf,1,0,1,1,0.6666666666666666,0.0,0.6666666666666666,0.33333333333333337,0.3333333333333334,-5.551115123125783e-17,0.029399141630901182,0.029399141630901293,1.1102230246251565e-16,5.81873551733459
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-90f71da89d,scorable_negotiation-L0-4abed256fd,0,0,1,1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.33333333333333337,0.3333333333333334,-5.551115123125783e-17,0.07894030623327197,0.06417322834645667,-0.014767077886815305,5.909669229369619
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-cae553c552,scorable_negotiation-L0-4abed256fd,1,0,1,3,0.0,0.6666666666666666,-0.6666666666666666,0.29505233604671727,0.3333333333333334,-0.03828099728661616,0.06277693323158695,0.06417322834645667,0.0013962951148697167,5.5877719594506985
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-d40ec080b2,scorable_negotiation-L0-4d2e9ce257,0,0,1,1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.3663387384574705,0.3333333333333334,0.03300540512413708,0.03500112921229326,0.027405857740585682,-0.0075952714717075764,5.79926182912717
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-2152ae37b2,scorable_negotiation-L0-4d2e9ce257,1,0,1,1,0.6666666666666666,0.6666666666666666,0.0,0.3644049200530123,0.3333333333333334,0.031071586719678856,0.027405857740585682,0.027405857740585682,0.0,5.847071653109987
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-fdaf1b3e0a,scorable_negotiation-L0-5646c8be3d,0,0,1,2,0.3333333333333333,0.3333333333333333,0.0,0.26438521510291585,0.3333333333333334,-0.06894811823041758,0.0684006211180126,0.06840062111801237,-2.220446049250313e-16,5.0160125014947115
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-065ac5c875,scorable_negotiation-L0-5646c8be3d,1,0,1,2,0.0,0.3333333333333333,-0.3333333333333333,0.26595448276670963,0.3333333333333334,-0.0673788505666238,0.07442272062833111,0.06840062111801237,-0.006022099510318735,5.217628950242698
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-864fa0e5c7,scorable_negotiation-L0-8b01faa970,0,0,1,1,0.6666666666666666,0.0,0.6666666666666666,0.36492938798984575,0.3333333333333334,0.03159605465651233,0.08128002045623861,0.07499999999999996,-0.006280020456238655,5.502394564834491
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-04216c6818,scorable_negotiation-L0-8b01faa970,1,0,1,3,0.6666666666666666,0.0,0.6666666666666666,0.36547565563831197,0.3333333333333334,0.03214232230497854,0.07499999999999996,0.07499999999999996,0.0,5.577923390295155
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-52f9fedc5b,scorable_negotiation-L0-90316f9784,0,0,1,4,0.6666666666666666,0.6666666666666666,0.0,0.3472582038131339,0.3333333333333334,0.013924870479800455,0.03793928097170285,0.019767441860465085,-0.018171839111237764,4.915860561176258
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-7bdcb4c74b,scorable_negotiation-L0-90316f9784,1,0,1,1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.33180814745647025,0.3333333333333334,-0.0015251858768631776,0.019767441860465085,0.019767441860465085,0.0,5.286075844383733
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-19cbbfc279,scorable_negotiation-L0-b7ecc0292a,0,0,1,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3649293879898457,0.3333333333333334,0.031596054656512274,0.07892152989020085,0.07264150943396219,-0.006280020456238655,5.50239456483449
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-408231fd0c,scorable_negotiation-L0-b7ecc0292a,1,0,1,2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3681169079111307,0.3333333333333334,0.034783574577797294,0.09019711431542643,0.07264150943396219,-0.017555604881464237,5.342247709784363
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-977120a0c1,scorable_negotiation-L0-c1677e5f6d,0,0,1,1,0.6666666666666666,0.6666666666666666,0.0,0.40912000651292235,0.3333333333333334,0.07578667317958893,0.038924302070354466,0.030405405405405372,-0.008518896664949094,5.52884813231001
advocate_v2_uncapped_baseline,scorable_negotiation-moves_chat-146e83102f,scorable_negotiation-L0-c1677e5f6d,1,0,1,1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.397116596326492,0.3333333333333334,0.06378326299315856,0.030405405405405483,0.030405405405405372,-1.1102230246251565e-16,5.607505783604108
